P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5)
0.016418094920245704,0.9343277342294621,0.0164180748659711,0.016418072354074702,0.016418023630246234
0.017260390274874554,0.9309584940087101,0.017260390508429254,0.017260367424722527,0.017260357783263503
0.012805613523667174,0.9487776096212686,0.012805628956423652,0.01280559570209777,0.012805552196542816
0.039947253425338815,0.8402109680421612,0.03994725951630121,0.039947262886398716,0.03994725612980007
0.2,0.2,0.2,0.2,0.2
0.009226843331137297,0.9630875619091468,0.009226845100565609,0.009231784439880519,0.009226965219269774
0.05194267919745436,0.79222919942923,0.05194277473682496,0.05194267860569835,0.05194266803079253
0.015329357537971919,0.9386825856588263,0.015329360416386413,0.0153293553052056,0.015329341081609826
0.02108479762229795,0.9156608143868986,0.021084809081077606,0.021084792384969825,0.021084786524755914
0.03316853800855229,0.8673258433428398,0.033168539611968084,0.033168541333920304,0.033168537702719526
0.033206436653324345,0.8671742486799048,0.03320643829607255,0.03320643994546359,0.033206436425234735
0.026936854608299043,0.8922525906474771,0.026936851678142165,0.026936853172506818,0.026936849893574876
0.01106449842431579,0.9557418696713249,0.011064512234445462,0.01106464769945432,0.011064471970459257
0.015398082212918078,0.938407710909378,0.015398110217895942,0.015398058467876797,0.015398038191931196
0.014115088899101768,0.9435397118044125,0.014115083013666888,0.014115084398244635,0.014115031884574171
0.04085503513220955,0.8365798499459477,0.04085504105821363,0.0408550388596639,0.04085503500396527
0.03097623974784979,0.8760950803622749,0.03097622853746187,0.030976226296232538,0.030976225056180907
0.02108479762229795,0.9156608143868986,0.021084809081077606,0.021084792384969825,0.021084786524755914
0.03097623974784979,0.8760950803622749,0.03097622853746187,0.030976226296232538,0.030976225056180907
0.04085503513220955,0.8365798499459477,0.04085504105821363,0.0408550388596639,0.04085503500396527
0.014115088899101768,0.9435397118044125,0.014115083013666888,0.014115084398244635,0.014115031884574171
0.017500309501703854,0.9299987510864102,0.01750031030424147,0.01750033924742966,0.01750028986021477
0.014774699962429654,0.9409012023053824,0.014774710059938375,0.014774709051049776,0.014774678621199971
0.024251050434525762,0.9029957904825059,0.02425106553369388,0.024251047854729268,0.02425104569454521
0.013223705286009847,0.9471039966304269,0.013223706431185901,0.01322370268612768,0.013224888966249638
0.04100398843056357,0.83598409628728,0.04100398072359563,0.04100396533517612,0.041003969223384826
0.015658253743398808,0.9373671262216582,0.01565822698652949,0.015658217369223824,0.01565817567918977
0.016817099403828178,0.9327316446741544,0.01681713162658961,0.016817079535109712,0.016817044760318277
0.017751933958300253,0.928992302957118,0.01775195547183684,0.017751922639953677,0.017751884972791225
0.012750113972807705,0.9489996232406971,0.01275011807438902,0.012750099117343,0.012750045594763143
0.01959235747442443,0.9216306007340893,0.019592379906709836,0.019592336765145504,0.019592325119631007
0.008994801247175454,0.9640106401801342,0.008994802333068609,0.00900498074858565,0.008994775491036215
0.008970018469245692,0.964109604828276,0.008970020239483775,0.008980363981100536,0.008969992481893983
0.012929597570289376,0.9482809678250179,0.012929612403400428,0.012929542524586253,0.012930279676705955
0.016487794755245984,0.9340484020135236,0.016487801955296404,0.016487796138642246,0.016488205137291885
0.03445957853006978,0.8621616783273144,0.034459578714829506,0.034459584125675964,0.03445958030211027
0.02268730586593729,0.9092507734524032,0.022687333155890967,0.022687282350063797,0.022687305175704747
0.025913373995009,0.8963465587160424,0.025913365644137928,0.025913364580184162,0.025913337064626507
0.015218575313827486,0.9391253706179021,0.015218592848373647,0.015218557643578476,0.015218903576318164
0.03619562090778831,0.8552175182429134,0.03619561483465905,0.03619565452580721,0.036195591488832245
0.01662765463775601,0.933489384898346,0.01662765649190268,0.01662764638099295,0.016627657591002404
0.011879353558359972,0.9524825737589462,0.011879378044736108,0.011879345625705515,0.011879349012252214
0.01662765463775601,0.933489384898346,0.01662765649190268,0.01662764638099295,0.016627657591002404
0.011879353558359972,0.9524825737589462,0.011879378044736108,0.011879345625705515,0.011879349012252214
0.011576894227113334,0.9536924778512285,0.01157689339778997,0.01157687966948769,0.011576854854380585
0.015663397036649675,0.9373464495255274,0.015663395152179346,0.015663389327168386,0.015663368958475213
0.011136294289899666,0.9554548553393215,0.01113629645233254,0.011136323435531989,0.01113623048291429
0.01648971694553645,0.9340411352345571,0.016489745864891454,0.016489740064961483,0.016489661890053485
0.017845202289844184,0.9286192756458455,0.017845183243040727,0.017845198491019745,0.01784514033024992
0.011012199229322488,0.9559512157661861,0.011012205600465109,0.011012202563640609,0.011012176840385376
0.01103983639654655,0.9558406661819153,0.011039841950340627,0.011039839939044711,0.01103981553215287
0.012496601351502075,0.950013569006295,0.012496607317326425,0.012496603761253295,0.012496618563623337
0.01103983639654655,0.9558406661819153,0.011039841950340627,0.011039839939044711,0.01103981553215287
0.012496601351502075,0.950013569006295,0.012496607317326425,0.012496603761253295,0.012496618563623337
0.009730158682016135,0.9610793733393412,0.009730165299178204,0.009730160702157601,0.009730141977306832
0.014824311179198121,0.9407027905422367,0.014824315210028196,0.014824285487843312,0.014824297580693674
0.016957008457215733,0.9321721019269691,0.01695703729052444,0.01695694485325294,0.016956907472037663
0.020133210120415683,0.9194672808565707,0.020133232176646407,0.02013317252109281,0.020133104325274397
0.010709090864958403,0.9571637280863552,0.010709089297856128,0.010709056948960035,0.010709034801870288
0.01605408104289553,0.9357834815541137,0.016054087568623573,0.01605406301433569,0.016054286820031228
0.012033270153815815,0.9518669822988444,0.012033272961474164,0.01203326640327193,0.012033208182593638
0.014911660825961891,0.940352378163791,0.014911669213142699,0.01491162625739321,0.014912665539711283
0.016820801910633624,0.9327168114245902,0.016820862045010657,0.016820776901339388,0.016820747718426045
0.015144281840833948,0.9394228823465278,0.015144290700562378,0.015144282696456336,0.015144262415619484
0.03041323772466079,0.8783470574388492,0.0304132383362443,0.030413237339672747,0.030413229160572937
0.012178119122324884,0.9512875735196742,0.012178103678274665,0.012178119160684682,0.012178084519041567
0.009972180971942945,0.960111367068596,0.00997217697995676,0.009972162798751055,0.009972112180753162
0.015435178777414916,0.9382593062922021,0.015435181596612384,0.015435204740365877,0.015435128593404642
0.016049168811994616,0.9358034500874398,0.01604917443403045,0.01604912550257885,0.016049081163956362
0.03599208317247541,0.8560316819537225,0.035992072631522085,0.03599211319295321,0.035992049049326784
0.012485713150739056,0.9500569139708644,0.01248571409402401,0.012485711809951509,0.012485946974420903
0.011946626715353624,0.9522135180202146,0.011946647573789666,0.011946623093717907,0.01194658459692402
0.01454367666533569,0.9418253043592785,0.014543677504948085,0.014543684340405066,0.014543657130032686
0.01075527024553413,0.9569784831370072,0.010755258710061855,0.010755260492458398,0.010755727414938476
0.015106293102477183,0.939574972020617,0.015106257495086784,0.01510626320074333,0.0151062141810759
0.01898998556165739,0.9240401404148045,0.018989969339655088,0.018989968948479565,0.018989935735403304
0.015144281840833948,0.9394228823465278,0.015144290700562378,0.015144282696456336,0.015144262415619484
0.01454367666533569,0.9418253043592785,0.014543677504948085,0.014543684340405066,0.014543657130032686
0.062381430753061,0.7504742790783431,0.06238142991217303,0.0623814304012833,0.06238142985513973
0.012251166202163976,0.9509955696254209,0.012251135475819616,0.012251121839021955,0.012251006857573488
0.01611717177704988,0.9355314591883317,0.016117151322406056,0.016117122159580905,0.016117095552631275
0.014004994708693133,0.9439794550946597,0.014004988052037355,0.014005597380652452,0.014004964763957406
0.014834515366446577,0.9406619959336493,0.014834510528828329,0.014834492086429561,0.014834486084646263
0.015539087978651512,0.937843668114633,0.015539088384936997,0.015539093503238177,0.01553906201854018
0.03323113536735983,0.8670754454735826,0.033231134312744694,0.033231139792755056,0.03323114505355767
0.017492923299139793,0.9300284220619255,0.017492881543008973,0.017492891948877383,0.017492881147048323
0.017384646551567986,0.9304614534943918,0.017384649629019637,0.01738465517238244,0.01738459515263821
0.01730588348150738,0.9307765530991091,0.017305852355434453,0.017305843985348505,0.01730586707860048
0.015516255066404685,0.9379349996676428,0.015516255477000201,0.015516260585177117,0.015516229203775217
0.032696815176864416,0.869212725755473,0.03269681442317349,0.03269681992491943,0.03269682471956966
0.0204929129678383,0.9180285219399293,0.020492881256188224,0.02049286711365398,0.020492816722390006
0.01577904793013369,0.9368811649872258,0.015779049088056107,0.015779053865854313,0.01578168412873016
0.01874369640809874,0.9250252987889674,0.01874367981271495,0.018743679157660436,0.018743645832558425
0.04615486893280142,0.8153804994612225,0.046154867587265905,0.04615487492295558,0.04615488909575458
0.031566448883592044,0.8737340211858946,0.031566450832570384,0.03156645326440028,0.031566625833542625
0.07051458695957133,0.7179416185222939,0.07051457894441486,0.07051460320955989,0.0705146123641601
0.019988398057363382,0.920046455799589,0.01998837911772073,0.019988380559430377,0.019988386465896513
0.07772268757637925,0.6891091223101686,0.07772270044602135,0.07772270868721655,0.07772278098021419
0.027598250186171153,0.8896070784280906,0.027598254147222508,0.027598216990185106,0.027598200248330543
0.012376718066893366,0.9504931651089912,0.01237672319186775,0.012376699815052123,0.012376693817195621
0.017021532033877563,0.9319138484878756,0.01702154651640357,0.017021534498822887,0.017021538463020396
0.012506231713036381,0.9499747276972862,0.012506240657289851,0.012506598628193498,0.012506201304193958
0.026296114836175572,0.8948155798656197,0.026296147755974913,0.02629610264639141,0.026296054895838333
0.01663906487541475,0.9334437835852578,0.01663907042985037,0.01663905086290641,0.016639030246570655
0.017636325515553747,0.9294547723836041,0.01763631280661622,0.017636308787495312,0.017636280506730703
0.01756697380208927,0.9297321486581377,0.01756697010446508,0.017566955758855862,0.017566951676452128
0.014475987686246949,0.9420961354745059,0.014476010008734271,0.014475961315608184,0.014475905514904795
0.010328574311166105,0.9586857363604946,0.010328578313894991,0.010328560677564831,0.010328550336879665
0.014503669459147975,0.9419853982727993,0.014503650797545434,0.014503646782925966,0.01450363468758124
0.01381137523273466,0.944754501374858,0.013811372844021787,0.013811374974250737,0.013811375574134805
0.030126991729555762,0.8794920206387874,0.030126991829537736,0.03012699899722576,0.03012699680489333
0.011855857071877245,0.9525765855013343,0.011855871608355295,0.011855849069788383,0.011855836748644918
0.015160954636224418,0.9393563349652544,0.015160945234856879,0.015160913276795366,0.015160851886869027
0.017338925054623484,0.9306444263271952,0.017338890125892792,0.017338894214567753,0.017338864277720713
0.018334870752855163,0.9266605317916595,0.018334868430835354,0.01833487892078683,0.018334850103863234
0.030126991729555762,0.8794920206387874,0.030126991829537736,0.03012699899722576,0.03012699680489333
0.009251804885638157,0.9629927916238414,0.009251805170993261,0.009251792778551118,0.009251805540976106
0.020174439485724636,0.9193022657256726,0.020174433917237944,0.02017443567049108,0.02017442520087377
0.013949327242939166,0.9442027990236559,0.01394930393645875,0.013949292101883457,0.013949277695062675
0.027319244183280158,0.8907231281026535,0.027319215586946985,0.02731921471911618,0.027319197408003155
0.014355224217594562,0.9425791170223339,0.014355228081121989,0.014355220710084706,0.01435520996886482
0.024188473248406048,0.9032461002673996,0.024188478068015672,0.02418847445763179,0.024188473958547053
0.024188473248406048,0.9032461002673996,0.024188478068015672,0.02418847445763179,0.024188473958547053
0.020153355421226406,0.9193866081489004,0.020153348638865955,0.02015335986312383,0.020153327927883363
0.009017354284169067,0.9639304762028718,0.009017357639238296,0.00901732992886999,0.009017481944850823
0.018308958351211616,0.9267642450350879,0.018308956763521015,0.018308939067105078,0.018308900783074313
0.018235570250667677,0.9270577296424609,0.018235564813718793,0.018235578143701706,0.018235557149450823
0.015240158198056172,0.9390394148073302,0.015240156802480894,0.01524015112253663,0.015240119069596108
0.011471213369873414,0.9541151868309972,0.011471216737354798,0.011471202514238813,0.01147118054753597
0.012283185400690635,0.9508672648571945,0.012283191170138144,0.01228318520236494,0.012283173369611546
0.010935317601991382,0.9562587844898842,0.010935312902069356,0.010935304816683485,0.010935280189371756
0.011903461013343573,0.9523862458385258,0.011903447647116653,0.011903435207475613,0.011903410293538523
0.011234727037765764,0.9550611697103681,0.011234727438453372,0.011234704729735197,0.011234671083677466
0.024403178124852334,0.9023872834532441,0.024403182392680273,0.024403179368519486,0.024403176660703674
0.011454910797381873,0.9541804056255209,0.011454907091017553,0.011454903679242635,0.01145487280683696
0.02269268803349639,0.909229245504851,0.022692690647936824,0.022692688763116572,0.02269268705059935
0.02336732420749591,0.9065307160194038,0.023367322871057503,0.023367320071889068,0.023367316830153546
0.014803946621637002,0.940784210984115,0.014803949829378433,0.014803947688421257,0.014803944876448377
0.013712287111464359,0.9451505880047818,0.013712302196099339,0.013712597244150613,0.013712225443503938
0.014506651914634374,0.9419734523279201,0.014506645958933717,0.014506712281269828,0.014506537517241942
0.05994544900846941,0.39149789686605396,0.05994540349675524,0.4286658617667062,0.059945388862015114
0.02452825225114767,0.9018869841921372,0.02452825843597405,0.02452825645524852,0.02452824866549256
0.010994794403201561,0.9560208393338178,0.010994788996200237,0.01099477876543326,0.010994798501346935
0.014944867287803063,0.9402205610037739,0.014944879253161517,0.0149448552856567,0.014944837169604751
0.01861172262248997,0.9255532529187785,0.01861170543609421,0.018611678050302716,0.018611640972334486
0.02243604751145028,0.9102558451769109,0.022436062445083726,0.02243603592582066,0.022436008940734473
0.012114126178558208,0.951543511784997,0.012114128489303466,0.01211411938663219,0.012114114160509044
0.015543113081949859,0.9378275787402689,0.015543103750371821,0.015543103964857675,0.015543100462551782
0.012464277085173349,0.9501429173551892,0.01246427410453802,0.012464266914685414,0.012464264540414076
0.012070786014065521,0.9517169264240726,0.012070776279374138,0.012070767596601235,0.012070743685886424
0.08319927933017063,0.6672033087829533,0.08319914550501943,0.08319914417085918,0.08319912221099746
0.013811027133207955,0.9447559290337145,0.013811020478465514,0.013811020587645566,0.013811002766966462
0.019817880489367907,0.9207284843775467,0.01981788023208376,0.019817875734929696,0.01981787916607211
0.013240947495540122,0.9470363235084569,0.01324092763497519,0.013240918813039897,0.013240882547987855
0.01138378714998414,0.9544649065396036,0.011383789536672271,0.011383772431413792,0.011383744342326226
0.017128334529047908,0.9314866952047194,0.017128330808769892,0.017128320658617142,0.017128318798845733
0.022648304968835572,0.9094067909639239,0.022648312614994358,0.022648298009026548,0.02264829344321972
0.019211599438306044,0.9231535780363449,0.019211603941485036,0.019211590257070525,0.01921162832679362
0.019211599438306044,0.9231535780363449,0.019211603941485036,0.019211590257070525,0.01921162832679362
0.022648304968835572,0.9094067909639239,0.022648312614994358,0.022648298009026548,0.02264829344321972
0.014120642671363443,0.9435174951172182,0.014120629851951942,0.014120627229079943,0.01412060513038645
0.017790862556771442,0.9288363677096233,0.01779088765919606,0.017791090325859776,0.017790791748549348
0.017842253758604716,0.9286310891033428,0.017842278373581474,0.017842237205705127,0.017842141558766008
0.035342521189715745,0.8586301193904134,0.03534246271890208,0.0353424774568298,0.03534241924413896
0.023373506209664992,0.906506047978636,0.02337348795760934,0.023373479841332704,0.023373478012757038
0.017932547665709973,0.928269938782142,0.017932533861269195,0.01793251285414224,0.017932466836736587
0.012254384104626296,0.9509824870853024,0.012254383513351348,0.012254391731387976,0.012254353565331852
0.022648304968835572,0.9094067909639239,0.022648312614994358,0.022648298009026548,0.02264829344321972
0.01052948861774818,0.9578820728689426,0.010529498842379031,0.010529479164746067,0.01052946050618414
0.013008012322092208,0.947967922067287,0.013008017729932677,0.013008005370440126,0.013008042510248095
0.014031142735567412,0.9438745504154437,0.014031155646762435,0.014031138550008487,0.01403201265221814
0.010670598543676805,0.9573176673581559,0.01067058954861111,0.010670572168083347,0.010670572381472737
0.02155523914011703,0.3499236979141497,0.021555228009046315,0.02155517732937529,0.5854106576073116
0.012730289965349851,0.9490782304439649,0.012730283058234825,0.012730275005786777,0.012730921526663568
0.015517175792826856,0.9379313686273619,0.015517168778360195,0.015517157548943512,0.015517129252507594
0.01831225172972471,0.9267512053203338,0.01831226341341359,0.01831216414060869,0.018312115395919037
0.012179857368449159,0.9512806610468248,0.012179845913313503,0.012179828956544646,0.0121798067148678
0.012397234635785797,0.9504102704650239,0.012397230819293394,0.012397216178472548,0.01239804790142434
0.018879295453737326,0.924482322029545,0.018879301648487664,0.01887984835538687,0.018879232512843243
0.01305597489886171,0.9477761389371292,0.013055971223267907,0.013055969163267513,0.013055945777473786
0.016897423491764412,0.9324091856706562,0.01689742434269353,0.0168985468497687,0.016897419645117307
0.021688379298582923,0.9132464846136596,0.02168837680751577,0.02168838314536632,0.021688376134875374
0.02313721809339558,0.9074512035057182,0.02313720386038044,0.02313720391225109,0.0231371706282547
0.024530728622666993,0.9018770892100005,0.024530724704491646,0.024530733626134178,0.02453072383670656
0.012254384104626296,0.9509824870853024,0.012254383513351348,0.012254391731387976,0.012254353565331852
0.01583122562740963,0.9366751568465119,0.01583122374533202,0.01583120263712668,0.01583119114361974
0.020389192888660035,0.9184432745883363,0.020389217100486065,0.02038917897404675,0.020389136448470832
0.01209852897675602,0.9516059356564792,0.012098530431528505,0.012098512206918615,0.012098492728317737
0.015249772749855312,0.9390008579344691,0.015249812906987932,0.015249741960427754,0.015249814448259926
0.053483987395375375,0.7860641082966461,0.053483998348419444,0.053483975868044285,0.05348393009151479
0.024307165141873678,0.9027715798454685,0.024307147529409583,0.024307108281688226,0.02430699920156008
0.014730757555390732,0.9410769666955424,0.014730779201081236,0.014730762506567874,0.01473073404141784
0.010385331661561548,0.9584587284500281,0.010385321402437099,0.010385310349961352,0.010385308136011831
0.021486199381386788,0.9140552070443682,0.021486199854692262,0.021486203342560645,0.021486190376992138
0.02137671121088805,0.9144931605272895,0.021376711746597783,0.02137671454547235,0.021376701969752356
0.023205486456379393,0.9071780570269985,0.0232054831637666,0.023205491004567366,0.02320548234828821
0.013064067656779449,0.9477438409472106,0.01306404436498275,0.013064041745194712,0.013064005285832377
0.01323770302145393,0.9470492432487884,0.01323769422627486,0.013237681853557698,0.013237677649925231
0.01370191851408625,0.9451923913504043,0.013701935033064397,0.013701894862677099,0.013701860239767919
0.020034201846733168,0.9198632911175579,0.020034192851630973,0.020034183717173484,0.0200341304669044
0.014718609671587881,0.9411255944667951,0.01471862014537921,0.014718599210825793,0.014718576505412027
0.013114655640032167,0.947541464937278,0.013114645556019194,0.013114631144030834,0.013114602722639713
0.013526226290294067,0.9458951543389391,0.013526229004243998,0.013526202133364635,0.01352618823315809
0.014810380933562711,0.9407585086013923,0.01481038020459275,0.014810367834206136,0.014810362426246105
0.012699568071007588,0.9491980821741142,0.012699599502920085,0.012699587652558138,0.012703162599400046
0.015190109452251807,0.9392395685905846,0.01519012540319863,0.015190114958074484,0.015190081595890427
