num,score,ç±»å
10,1.0,train
10,0.569,test
20,0.98,train
20,0.683,test
30,0.97,train
30,0.646,test
40,0.95,train
40,0.756,test
50,0.93,train
50,0.756,test
60,0.9,train
60,0.76,test
70,0.907,train
70,0.768,test
80,0.9,train
80,0.805,test
90,0.894,train
90,0.81,test
100,0.9,train
100,0.819,test
110,0.895,train
110,0.814,test
120,0.9,train
120,0.811,test
130,0.881,train
130,0.819,test
140,0.893,train
140,0.823,test
150,0.877,train
150,0.826,test
160,0.894,train
160,0.819,test
170,0.885,train
170,0.813,test
180,0.878,train
180,0.83,test
190,0.845,train
190,0.834,test
200,0.855,train
200,0.835,test
210,0.845,train
210,0.832,test
220,0.836,train
220,0.828,test
230,0.833,train
230,0.825,test
240,0.842,train
240,0.828,test
250,0.854,train
250,0.83,test
260,0.835,train
260,0.8,test
270,0.854,train
270,0.813,test
280,0.857,train
280,0.815,test
290,0.85,train
290,0.829,test
300,0.847,train
300,0.83,test
310,0.847,train
310,0.828,test
320,0.844,train
320,0.829,test
330,0.844,train
330,0.828,test
340,0.853,train
340,0.831,test
350,0.841,train
350,0.826,test
360,0.85,train
360,0.83,test
370,0.839,train
370,0.825,test
380,0.842,train
380,0.828,test
390,0.845,train
390,0.828,test
400,0.84,train
400,0.828,test
410,0.84,train
410,0.827,test
420,0.833,train
420,0.827,test
430,0.838,train
430,0.827,test
440,0.841,train
440,0.83,test
450,0.846,train
450,0.828,test
460,0.846,train
460,0.827,test
470,0.846,train
470,0.83,test
480,0.85,train
480,0.83,test
490,0.852,train
490,0.832,test
500,0.85,train
500,0.831,test
510,0.846,train
510,0.832,test
520,0.842,train
520,0.832,test
530,0.842,train
530,0.831,test
540,0.846,train
540,0.829,test
550,0.846,train
550,0.83,test
560,0.846,train
560,0.831,test
570,0.846,train
570,0.83,test
580,0.847,train
580,0.83,test
590,0.848,train
590,0.831,test
600,0.852,train
600,0.832,test
610,0.852,train
610,0.83,test
620,0.85,train
620,0.83,test
630,0.848,train
630,0.828,test
640,0.847,train
640,0.828,test
650,0.847,train
650,0.832,test
660,0.845,train
660,0.832,test
670,0.846,train
670,0.832,test
680,0.846,train
680,0.831,test
690,0.847,train
690,0.834,test
700,0.85,train
700,0.829,test
710,0.849,train
710,0.832,test
720,0.847,train
720,0.832,test
730,0.85,train
730,0.831,test
740,0.851,train
740,0.83,test
750,0.85,train
750,0.829,test
760,0.849,train
760,0.83,test
770,0.851,train
770,0.829,test
780,0.849,train
780,0.822,test
790,0.849,train
790,0.828,test
800,0.844,train
800,0.818,test
810,0.84,train
810,0.82,test
820,0.837,train
820,0.818,test
830,0.836,train
830,0.795,test
840,0.839,train
840,0.805,test
850,0.836,train
850,0.804,test
860,0.837,train
860,0.8,test
870,0.841,train
870,0.798,test
880,0.84,train
880,0.798,test
890,0.844,train
890,0.825,test
900,0.843,train
900,0.831,test
910,0.846,train
910,0.83,test
920,0.842,train
920,0.83,test
930,0.841,train
930,0.83,test
940,0.848,train
940,0.828,test
950,0.85,train
950,0.827,test
960,0.849,train
960,0.827,test
970,0.851,train
970,0.828,test
980,0.847,train
980,0.828,test
990,0.846,train
990,0.828,test
1000,0.848,train
1000,0.829,test
1010,0.847,train
1010,0.83,test
1020,0.848,train
1020,0.83,test
1030,0.845,train
1030,0.827,test
1040,0.847,train
1040,0.832,test
1050,0.848,train
1050,0.833,test
1060,0.846,train
1060,0.834,test
1070,0.845,train
1070,0.831,test
1080,0.845,train
1080,0.833,test
1090,0.843,train
1090,0.832,test
1100,0.845,train
1100,0.829,test
1110,0.846,train
1110,0.832,test
1120,0.848,train
1120,0.831,test
1130,0.849,train
1130,0.831,test
1140,0.846,train
1140,0.831,test
1150,0.846,train
1150,0.831,test
1160,0.846,train
1160,0.831,test
1170,0.847,train
1170,0.829,test
1180,0.844,train
1180,0.832,test
1190,0.842,train
1190,0.832,test
1200,0.84,train
1200,0.83,test
1210,0.84,train
1210,0.832,test
1220,0.84,train
1220,0.831,test
1230,0.843,train
1230,0.833,test
1240,0.842,train
1240,0.832,test
1250,0.843,train
1250,0.831,test
1260,0.844,train
1260,0.832,test
1270,0.851,train
1270,0.829,test
1280,0.85,train
1280,0.83,test
1290,0.848,train
1290,0.83,test
1300,0.848,train
1300,0.831,test
1310,0.848,train
1310,0.832,test
1320,0.845,train
1320,0.83,test
1330,0.846,train
1330,0.83,test
1340,0.844,train
1340,0.83,test
1350,0.844,train
1350,0.832,test
1360,0.843,train
1360,0.833,test
1370,0.844,train
1370,0.832,test
1380,0.843,train
1380,0.831,test
1390,0.844,train
1390,0.832,test
1400,0.845,train
1400,0.832,test
1410,0.845,train
1410,0.832,test
1420,0.843,train
1420,0.83,test
1430,0.846,train
1430,0.829,test
1440,0.844,train
1440,0.83,test
1450,0.845,train
1450,0.83,test
1460,0.844,train
1460,0.83,test
1470,0.844,train
1470,0.83,test
1480,0.843,train
1480,0.83,test
1490,0.843,train
1490,0.83,test
1500,0.843,train
1500,0.83,test
1510,0.843,train
1510,0.83,test
1520,0.843,train
1520,0.829,test
1530,0.843,train
1530,0.832,test
1540,0.843,train
1540,0.832,test
1550,0.844,train
1550,0.831,test
1560,0.844,train
1560,0.83,test
1570,0.844,train
1570,0.828,test
1580,0.842,train
1580,0.829,test
1590,0.844,train
1590,0.832,test
1600,0.846,train
1600,0.832,test
1610,0.844,train
1610,0.833,test
1620,0.844,train
1620,0.831,test
1630,0.845,train
1630,0.831,test
1640,0.846,train
1640,0.831,test
1650,0.844,train
1650,0.831,test
1660,0.843,train
1660,0.831,test
1670,0.844,train
1670,0.832,test
1680,0.843,train
1680,0.835,test
1690,0.842,train
1690,0.835,test
1700,0.842,train
1700,0.833,test
1710,0.842,train
1710,0.833,test
1720,0.842,train
1720,0.835,test
1730,0.842,train
1730,0.834,test
1740,0.843,train
1740,0.835,test
1750,0.843,train
1750,0.835,test
1760,0.844,train
1760,0.835,test
1770,0.843,train
1770,0.835,test
1780,0.843,train
1780,0.835,test
1790,0.842,train
1790,0.834,test
1800,0.842,train
1800,0.835,test
1810,0.841,train
1810,0.834,test
1820,0.84,train
1820,0.834,test
1830,0.841,train
1830,0.835,test
1840,0.84,train
1840,0.835,test
1850,0.84,train
1850,0.835,test
1860,0.84,train
1860,0.835,test
1870,0.84,train
1870,0.834,test
1880,0.84,train
1880,0.835,test
1890,0.841,train
1890,0.835,test
1900,0.842,train
1900,0.835,test
1910,0.841,train
1910,0.835,test
1920,0.842,train
1920,0.835,test
1930,0.843,train
1930,0.835,test
1940,0.843,train
1940,0.835,test
1950,0.843,train
1950,0.835,test
1960,0.843,train
1960,0.835,test
1970,0.843,train
1970,0.835,test
1980,0.843,train
1980,0.835,test
1990,0.844,train
1990,0.835,test
2000,0.843,train
2000,0.835,test
2010,0.843,train
2010,0.835,test
2020,0.843,train
2020,0.834,test
2030,0.843,train
2030,0.834,test
2040,0.843,train
2040,0.833,test
2050,0.841,train
2050,0.835,test
2060,0.841,train
2060,0.835,test
2070,0.841,train
2070,0.835,test
2080,0.842,train
2080,0.835,test
2090,0.842,train
2090,0.833,test
2100,0.843,train
2100,0.834,test
2110,0.844,train
2110,0.834,test
2120,0.843,train
2120,0.835,test
2130,0.842,train
2130,0.835,test
2140,0.842,train
2140,0.836,test
2150,0.843,train
2150,0.835,test
2160,0.843,train
2160,0.835,test
2170,0.844,train
2170,0.835,test
2180,0.844,train
2180,0.834,test
2190,0.845,train
2190,0.835,test
2200,0.845,train
2200,0.835,test
2210,0.845,train
2210,0.835,test
2220,0.845,train
2220,0.835,test
2230,0.846,train
2230,0.835,test
2240,0.846,train
2240,0.835,test
2250,0.846,train
2250,0.835,test
2260,0.846,train
2260,0.835,test
2270,0.845,train
2270,0.835,test
2280,0.845,train
2280,0.835,test
2290,0.845,train
2290,0.837,test
2300,0.844,train
2300,0.837,test
2310,0.844,train
2310,0.837,test
2320,0.844,train
2320,0.837,test
2330,0.844,train
2330,0.837,test
2340,0.844,train
2340,0.837,test
2350,0.844,train
2350,0.837,test
2360,0.844,train
2360,0.837,test
2370,0.845,train
2370,0.837,test
2380,0.845,train
2380,0.837,test
2390,0.845,train
2390,0.837,test
2400,0.846,train
2400,0.836,test
2410,0.845,train
2410,0.836,test
2420,0.846,train
2420,0.836,test
2430,0.846,train
2430,0.836,test
2440,0.846,train
2440,0.837,test
2450,0.845,train
2450,0.837,test
2460,0.844,train
2460,0.837,test
2470,0.846,train
2470,0.836,test
2480,0.846,train
2480,0.836,test
2490,0.847,train
2490,0.835,test
2500,0.847,train
2500,0.835,test
2510,0.847,train
2510,0.835,test
2520,0.847,train
2520,0.835,test
2530,0.847,train
2530,0.835,test
2540,0.847,train
2540,0.835,test
2550,0.847,train
2550,0.835,test
2560,0.847,train
2560,0.835,test
2570,0.847,train
2570,0.836,test
2580,0.847,train
2580,0.836,test
2590,0.847,train
2590,0.836,test
2600,0.847,train
2600,0.836,test
2610,0.847,train
2610,0.836,test
2620,0.848,train
2620,0.836,test
2630,0.847,train
2630,0.836,test
2640,0.847,train
2640,0.836,test
2650,0.848,train
2650,0.836,test
2660,0.847,train
2660,0.836,test
2670,0.847,train
2670,0.836,test
2680,0.847,train
2680,0.836,test
2690,0.847,train
2690,0.836,test
2700,0.847,train
2700,0.836,test
2710,0.847,train
2710,0.836,test
2720,0.847,train
2720,0.836,test
2730,0.847,train
2730,0.836,test
2740,0.847,train
2740,0.836,test
2750,0.847,train
2750,0.837,test
2760,0.847,train
2760,0.836,test
2770,0.847,train
2770,0.836,test
2780,0.847,train
2780,0.837,test
2790,0.847,train
2790,0.837,test
2800,0.848,train
2800,0.837,test
2810,0.848,train
2810,0.837,test
2820,0.848,train
2820,0.837,test
2830,0.848,train
2830,0.837,test
2840,0.848,train
2840,0.836,test
2850,0.848,train
2850,0.837,test
2860,0.847,train
2860,0.837,test
2870,0.848,train
2870,0.837,test
2880,0.848,train
2880,0.837,test
2890,0.847,train
2890,0.837,test
2900,0.848,train
2900,0.836,test
2910,0.848,train
2910,0.836,test
2920,0.848,train
2920,0.837,test
2930,0.849,train
2930,0.836,test
2940,0.848,train
2940,0.837,test
2950,0.848,train
2950,0.837,test
2960,0.849,train
2960,0.837,test
2970,0.849,train
2970,0.837,test
2980,0.848,train
2980,0.837,test
2990,0.848,train
2990,0.836,test
3000,0.849,train
3000,0.836,test
3010,0.848,train
3010,0.836,test
3020,0.848,train
3020,0.836,test
3030,0.848,train
3030,0.836,test
3040,0.848,train
3040,0.836,test
3050,0.848,train
3050,0.836,test
3060,0.848,train
3060,0.836,test
3070,0.849,train
3070,0.836,test
3080,0.849,train
3080,0.836,test
3090,0.849,train
3090,0.836,test
3100,0.849,train
3100,0.837,test
3110,0.849,train
3110,0.837,test
3120,0.849,train
3120,0.837,test
3130,0.85,train
3130,0.836,test
3140,0.85,train
3140,0.836,test
3150,0.85,train
3150,0.836,test
3160,0.849,train
3160,0.836,test
3170,0.849,train
3170,0.836,test
3180,0.848,train
3180,0.836,test
3190,0.849,train
3190,0.837,test
3200,0.849,train
3200,0.837,test
3210,0.849,train
3210,0.837,test
3220,0.849,train
3220,0.836,test
3230,0.849,train
3230,0.836,test
3240,0.849,train
3240,0.836,test
3250,0.849,train
3250,0.836,test
3260,0.849,train
3260,0.835,test
3270,0.849,train
3270,0.836,test
3280,0.849,train
3280,0.837,test
3290,0.849,train
3290,0.837,test
3300,0.85,train
3300,0.836,test
3310,0.85,train
3310,0.836,test
3320,0.85,train
3320,0.836,test
3330,0.849,train
3330,0.836,test
3340,0.85,train
3340,0.836,test
3350,0.849,train
3350,0.836,test
3360,0.849,train
3360,0.836,test
3370,0.849,train
3370,0.836,test
3380,0.849,train
3380,0.837,test
3390,0.849,train
3390,0.836,test
3400,0.849,train
3400,0.837,test
3410,0.849,train
3410,0.837,test
3420,0.849,train
3420,0.837,test
3430,0.849,train
3430,0.837,test
3440,0.85,train
3440,0.835,test
3450,0.851,train
3450,0.835,test
3460,0.85,train
3460,0.836,test
3470,0.849,train
3470,0.837,test
3480,0.85,train
3480,0.837,test
3490,0.849,train
3490,0.836,test
3500,0.85,train
3500,0.836,test
3510,0.85,train
3510,0.836,test
3520,0.85,train
3520,0.836,test
3530,0.849,train
3530,0.836,test
3540,0.849,train
3540,0.836,test
3550,0.849,train
3550,0.837,test
3560,0.849,train
3560,0.837,test
3570,0.849,train
3570,0.837,test
3580,0.849,train
3580,0.836,test
3590,0.849,train
3590,0.836,test
3600,0.849,train
3600,0.836,test
